layer,head,input,position,screen_score,published_class
1,11,k,S1,0.000000,
1,11,k,S1+1,0.000000,
1,11,k,S2,0.000672,
1,11,k,S2+1,-0.000015,
1,11,k,END,-0.000005,
1,11,v,IO,0.000000,
1,11,v,IO+1,0.000000,
1,11,v,S1,0.000000,
1,11,v,S1+1,0.000000,
1,11,v,S2,0.000966,
1,11,v,S2+1,0.000311,
1,11,v,END,0.000143,
2,0,q,IO,0.000000,
2,0,q,IO+1,0.000000,
2,0,q,S1,0.000000,
2,0,q,S1+1,0.000000,
2,0,q,S2,-0.001487,
2,0,q,S2+1,0.000005,
2,0,q,END,0.000093,
2,0,k,IO,0.000000,
2,0,k,IO+1,0.000000,
2,0,k,S1,0.000000,
2,0,k,S1+1,0.000000,
2,0,k,S2,-0.001490,
2,0,k,S2+1,-0.000009,
2,0,k,END,-0.000003,
2,0,v,IO,0.000000,
2,0,v,IO+1,0.000000,
2,0,v,S1,0.000000,
2,0,v,S1+1,0.000000,
2,0,v,S2,-0.000038,
2,0,v,S2+1,-0.000083,
2,0,v,END,-0.000022,
2,1,q,IO,0.000000,
2,1,q,IO+1,0.000000,
2,1,q,S1,0.000000,
2,1,q,S1+1,0.000000,
2,1,q,S2,0.000067,
2,1,q,S2+1,-0.000002,
2,1,q,END,-0.000043,
2,1,k,IO,0.000000,
2,1,k,IO+1,0.000000,
2,1,k,S1,0.000000,
2,1,k,S1+1,0.000000,
2,1,k,S2,-0.000227,
2,1,k,S2+1,-0.000041,
2,1,k,END,-0.000002,
2,1,v,IO,0.000000,
2,1,v,IO+1,0.000000,
2,1,v,S1,0.000000,
2,1,v,S1+1,0.000000,
2,1,v,S2,-0.000942,
2,1,v,S2+1,-0.000086,
2,1,v,END,-0.000000,
2,2,q,IO,0.000000,previous token
2,2,q,IO+1,0.000000,previous token
2,2,q,S1,0.000000,previous token
2,2,q,S1+1,0.000000,previous token
2,2,q,S2,-0.002397,previous token
2,2,q,S2+1,-0.000008,previous token
2,2,q,END,-0.000032,previous token
2,2,k,IO,0.000000,previous token
2,2,k,IO+1,0.000000,previous token
2,2,k,S1,0.000000,previous token
2,2,k,S1+1,0.000000,previous token
2,2,k,S2,-0.002502,previous token
2,2,k,S2+1,-0.000066,previous token
2,2,k,END,-0.000016,previous token
2,2,v,IO,0.000000,previous token
2,2,v,IO+1,0.000000,previous token
2,2,v,S1,0.000000,previous token
2,2,v,S1+1,0.000000,previous token
2,2,v,S2,0.001999,previous token
2,2,v,S2+1,-0.000015,previous token
2,2,v,END,0.000004,previous token
2,3,q,IO,0.000000,
2,3,q,IO+1,0.000000,
2,3,q,S1,0.000000,
2,3,q,S1+1,0.000000,
2,3,q,S2,0.000336,
2,3,q,S2+1,0.000019,
2,3,q,END,-0.000018,
2,3,k,IO,0.000000,
2,3,k,IO+1,0.000000,
2,3,k,S1,0.000000,
2,3,k,S1+1,0.000000,
2,3,k,S2,0.000173,
2,3,k,S2+1,0.000040,
2,3,k,END,-0.000016,
2,3,v,IO,0.000000,
2,3,v,IO+1,0.000000,
2,3,v,S1,0.000000,
2,3,v,S1+1,0.000000,
2,3,v,S2,-0.000414,
2,3,v,S2+1,-0.000002,
2,3,v,END,-0.000002,
2,4,q,IO,0.000000,
