layer,head,position,normalized_effect,published_class
4,7,S2+1,-0.001141,
4,7,END,-0.000270,
4,8,IO,0.000262,
4,8,IO+1,-0.000099,
4,8,S1,-0.000043,
4,8,S1+1,-0.000080,
4,8,S2,-0.000739,
4,8,S2+1,-0.000162,
4,8,END,-0.000096,
4,9,IO,-0.000125,
4,9,IO+1,0.000124,
4,9,S1,-0.000083,
4,9,S1+1,0.000000,
4,9,S2,-0.000050,
4,9,S2+1,0.000028,
4,9,END,0.000077,
4,10,IO,-0.000348,
4,10,IO+1,-0.000103,
4,10,S1,0.000415,
4,10,S1+1,0.000086,
4,10,S2,0.001112,
4,10,S2+1,-0.000046,
4,10,END,-0.000182,
4,11,IO,-0.000937,previous token
4,11,IO+1,0.002824,previous token
4,11,S1,0.000692,previous token
4,11,S1+1,-0.002626,previous token
4,11,S2,-0.000007,previous token
4,11,S2+1,0.001140,previous token
4,11,END,0.000511,previous token
5,0,IO,0.000777,
5,0,IO+1,-0.000051,
5,0,S1,-0.000210,
5,0,S1+1,0.000024,
5,0,S2,-0.000217,
5,0,S2+1,-0.000137,
5,0,END,-0.000050,
5,1,IO,-0.000016,
5,1,IO+1,-0.000001,
5,1,S1,0.000009,
5,1,S1+1,-0.000002,
5,1,S2,0.000222,
5,1,S2+1,0.000001,
5,1,END,-0.000006,
5,2,IO,-0.000356,
5,2,IO+1,-0.000287,
5,2,S1,0.000204,
5,2,S1+1,0.000328,
5,2,S2,0.000088,
5,2,S2+1,0.000060,
5,2,END,-0.000163,
5,3,IO,0.000056,
5,3,IO+1,0.000061,
5,3,S1,0.000039,
5,3,S1+1,-0.000008,
5,3,S2,-0.000162,
5,3,S2+1,-0.000010,
5,3,END,-0.000443,
5,4,IO,0.000112,
5,4,IO+1,-0.000002,
5,4,S1,-0.000122,
5,4,S1+1,0.000051,
5,4,S2,-0.000090,
5,4,S2+1,-0.000049,
5,4,END,-0.000237,
5,5,IO,-0.000021,induction
5,5,IO+1,-0.000020,induction
5,5,S1,0.000018,induction
5,5,S1+1,0.000073,induction
5,5,S2,0.001989,induction
5,5,S2+1,0.000149,induction
5,5,END,-0.000028,induction
5,6,IO,-0.000786,
5,6,IO+1,0.001408,
5,6,S1,0.000304,
5,6,S1+1,-0.000960,
5,6,S2,-0.000099,
5,6,S2+1,0.000194,
5,6,END,0.000676,
5,7,IO,0.000349,
5,7,IO+1,0.000000,
5,7,S1,-0.000438,
5,7,S1+1,-0.000008,
5,7,S2,-0.000143,
5,7,S2+1,-0.000002,
5,7,END,0.000466,
5,8,IO,-0.000201,induction
5,8,IO+1,-0.000040,induction
5,8,S1,0.000150,induction
5,8,S1+1,-0.000047,induction
5,8,S2,-0.001208,induction
5,8,S2+1,-0.000018,induction
5,8,END,-0.000148,induction
5,9,IO,0.000087,induction
5,9,IO+1,-0.000052,induction
5,9,S1,0.000168,induction
5,9,S1+1,-0.000207,induction
5,9,S2,-0.004708,induction
5,9,S2+1,0.000127,induction
5,9,END,-0.000031,induction
5,10,IO,0.001395,
5,10,IO+1,0.000316,
5,10,S1,-0.002346,
5,10,S1+1,-0.000276,
5,10,S2,-0.001228,
5,10,S2+1,0.000323,
5,10,END,-0.000422,
5,11,IO,-0.000827,
5,11,IO+1,-0.000110,
5,11,S1,0.001090,
5,11,S1+1,0.000207,
5,11,S2,0.003211,
5,11,S2+1,-0.000193,
5,11,END,0.000459,
6,0,IO,0.001004,
6,0,IO+1,0.000338,
6,0,S1,-0.000445,
6,0,S1+1,-0.000000,
6,0,S2,0.000349,
6,0,S2+1,0.004116,
6,0,END,-0.000296,
6,1,IO,-0.001146,
6,1,IO+1,0.001043,
6,1,S1,0.000511,
6,1,S1+1,-0.000532,
6,1,S2,-0.000357,
6,1,S2+1,-0.000000,
6,1,END,0.001214,
6,2,IO,-0.000101,
6,2,IO+1,-0.000115,
6,2,S1,0.000485,
6,2,S1+1,0.000009,
6,2,S2,-0.000140,
6,2,S2+1,-0.000080,
6,2,END,0.000101,
6,3,IO,0.000134,
6,3,IO+1,-0.000036,
6,3,S1,-0.000122,
6,3,S1+1,0.000002,
6,3,S2,-0.000722,
6,3,S2+1,0.000183,
6,3,END,0.000419,
6,4,IO,0.003085,
6,4,IO+1,0.000748,
6,4,S1,-0.003911,
6,4,S1+1,-0.000586,
6,4,S2,-0.000589,
