corruption,component,layer,position,effect
random_answer,resid_pre,2,A_doc,0.000630
random_answer,resid_pre,2,B_doc,0.000819
random_answer,resid_pre,2,END,0.004945
random_answer,resid_pre,3,A_def,0.000000
random_answer,resid_pre,3,B_def,0.000000
random_answer,resid_pre,3,comma_B,0.000000
random_answer,resid_pre,3,C_def,0.902633
random_answer,resid_pre,3,A_doc,0.002138
random_answer,resid_pre,3,B_doc,0.003290
random_answer,resid_pre,3,END,0.089547
random_answer,attn_out,0,A_def,0.000000
random_answer,attn_out,0,B_def,0.000000
random_answer,attn_out,0,comma_B,0.000000
random_answer,attn_out,0,C_def,0.323542
random_answer,attn_out,0,A_doc,0.000331
random_answer,attn_out,0,B_doc,0.000453
random_answer,attn_out,0,END,0.001550
random_answer,attn_out,1,A_def,0.000000
random_answer,attn_out,1,B_def,0.000000
random_answer,attn_out,1,comma_B,0.000000
random_answer,attn_out,1,C_def,0.040881
random_answer,attn_out,1,A_doc,0.000447
random_answer,attn_out,1,B_doc,0.000569
random_answer,attn_out,1,END,0.003610
random_answer,attn_out,2,A_def,0.000000
random_answer,attn_out,2,B_def,0.000000
random_answer,attn_out,2,comma_B,0.000000
random_answer,attn_out,2,C_def,0.063785
random_answer,attn_out,2,A_doc,0.001474
random_answer,attn_out,2,B_doc,0.002317
random_answer,attn_out,2,END,0.084959
random_answer,attn_out,3,A_def,0.000000
random_answer,attn_out,3,B_def,0.000000
random_answer,attn_out,3,comma_B,0.000000
random_answer,attn_out,3,C_def,0.000000
random_answer,attn_out,3,A_doc,0.000000
random_answer,attn_out,3,B_doc,0.000000
random_answer,attn_out,3,END,0.944531
random_answer,mlp_out,0,A_def,0.000000
random_answer,mlp_out,0,B_def,0.000000
random_answer,mlp_out,0,comma_B,0.000000
random_answer,mlp_out,0,C_def,0.000000
random_answer,mlp_out,0,A_doc,0.000000
random_answer,mlp_out,0,B_doc,0.000000
random_answer,mlp_out,0,END,0.000000
random_answer,mlp_out,1,A_def,0.000000
random_answer,mlp_out,1,B_def,0.000000
random_answer,mlp_out,1,comma_B,0.000000
random_answer,mlp_out,1,C_def,0.000000
random_answer,mlp_out,1,A_doc,0.000000
random_answer,mlp_out,1,B_doc,0.000000
random_answer,mlp_out,1,END,0.000000
random_answer,mlp_out,2,A_def,0.000000
random_answer,mlp_out,2,B_def,0.000000
random_answer,mlp_out,2,comma_B,0.000000
random_answer,mlp_out,2,C_def,0.000000
random_answer,mlp_out,2,A_doc,0.000000
random_answer,mlp_out,2,B_doc,0.000000
random_answer,mlp_out,2,END,0.000000
random_answer,mlp_out,3,A_def,0.000000
random_answer,mlp_out,3,B_def,0.000000
random_answer,mlp_out,3,comma_B,0.000000
random_answer,mlp_out,3,C_def,0.000000
random_answer,mlp_out,3,A_doc,0.000000
random_answer,mlp_out,3,B_doc,0.000000
random_answer,mlp_out,3,END,0.000000
random_vocab_cdef,resid_pre,0,A_def,0.000000
random_vocab_cdef,resid_pre,0,B_def,0.000000
random_vocab_cdef,resid_pre,0,comma_B,0.000000
random_vocab_cdef,resid_pre,0,C_def,1.000000
random_vocab_cdef,resid_pre,0,A_doc,0.000000
random_vocab_cdef,resid_pre,0,B_doc,0.000000
random_vocab_cdef,resid_pre,0,END,0.000000
random_vocab_cdef,resid_pre,1,A_def,0.000000
random_vocab_cdef,resid_pre,1,B_def,0.000000
random_vocab_cdef,resid_pre,1,comma_B,0.000000
random_vocab_cdef,resid_pre,1,C_def,0.988083
random_vocab_cdef,resid_pre,1,A_doc,0.000713
random_vocab_cdef,resid_pre,1,B_doc,0.000352
