corruption,component,layer,position,effect,published_mlp
random_vocab_yy,resid_pre,0,END,0.000000,
random_vocab_yy,resid_pre,1,NOUN,0.000000,
random_vocab_yy,resid_pre,1,XX1,0.000000,
random_vocab_yy,resid_pre,1,YY,1.003564,
random_vocab_yy,resid_pre,1,YY+1,0.000371,
random_vocab_yy,resid_pre,1,END,0.000102,
random_vocab_yy,resid_pre,2,NOUN,0.000000,
random_vocab_yy,resid_pre,2,XX1,0.000000,
random_vocab_yy,resid_pre,2,YY,1.001182,
random_vocab_yy,resid_pre,2,YY+1,-0.000393,
random_vocab_yy,resid_pre,2,END,-0.001373,
random_vocab_yy,resid_pre,3,NOUN,0.000000,
random_vocab_yy,resid_pre,3,XX1,0.000000,
random_vocab_yy,resid_pre,3,YY,0.996564,
random_vocab_yy,resid_pre,3,YY+1,-0.003887,
random_vocab_yy,resid_pre,3,END,-0.001733,
random_vocab_yy,resid_pre,4,NOUN,0.000000,
random_vocab_yy,resid_pre,4,XX1,0.000000,
random_vocab_yy,resid_pre,4,YY,0.983437,
random_vocab_yy,resid_pre,4,YY+1,-0.006027,
random_vocab_yy,resid_pre,4,END,-0.001306,
random_vocab_yy,resid_pre,5,NOUN,0.000000,
random_vocab_yy,resid_pre,5,XX1,0.000000,
random_vocab_yy,resid_pre,5,YY,0.968381,
random_vocab_yy,resid_pre,5,YY+1,-0.008130,
random_vocab_yy,resid_pre,5,END,-0.003411,
random_vocab_yy,resid_pre,6,NOUN,0.000000,
random_vocab_yy,resid_pre,6,XX1,0.000000,
random_vocab_yy,resid_pre,6,YY,0.601305,
random_vocab_yy,resid_pre,6,YY+1,-0.004160,
random_vocab_yy,resid_pre,6,END,0.044400,
random_vocab_yy,resid_pre,7,NOUN,0.000000,
random_vocab_yy,resid_pre,7,XX1,0.000000,
random_vocab_yy,resid_pre,7,YY,0.215986,
random_vocab_yy,resid_pre,7,YY+1,-0.002139,
random_vocab_yy,resid_pre,7,END,0.424168,
random_vocab_yy,resid_pre,8,NOUN,0.000000,
random_vocab_yy,resid_pre,8,XX1,0.000000,
random_vocab_yy,resid_pre,8,YY,-0.001725,
random_vocab_yy,resid_pre,8,YY+1,-0.001934,
random_vocab_yy,resid_pre,8,END,0.762830,
random_vocab_yy,resid_pre,9,NOUN,0.000000,
random_vocab_yy,resid_pre,9,XX1,0.000000,
random_vocab_yy,resid_pre,9,YY,-0.011328,
random_vocab_yy,resid_pre,9,YY+1,-0.000746,
random_vocab_yy,resid_pre,9,END,0.864651,
random_vocab_yy,resid_pre,10,NOUN,0.000000,
random_vocab_yy,resid_pre,10,XX1,0.000000,
random_vocab_yy,resid_pre,10,YY,-0.006032,
random_vocab_yy,resid_pre,10,YY+1,-0.000367,
random_vocab_yy,resid_pre,10,END,0.993853,
random_vocab_yy,resid_pre,11,NOUN,0.000000,
random_vocab_yy,resid_pre,11,XX1,0.000000,
random_vocab_yy,resid_pre,11,YY,-0.000763,
random_vocab_yy,resid_pre,11,YY+1,-0.000296,
random_vocab_yy,resid_pre,11,END,0.996750,
random_vocab_yy,attn_out,0,NOUN,0.000000,
random_vocab_yy,attn_out,0,XX1,0.000000,
random_vocab_yy,attn_out,0,YY,-0.002323,
random_vocab_yy,attn_out,0,YY+1,0.000371,
random_vocab_yy,attn_out,0,END,0.000102,
random_vocab_yy,attn_out,1,NOUN,0.000000,
random_vocab_yy,attn_out,1,XX1,0.000000,
random_vocab_yy,attn_out,1,YY,-0.001929,
random_vocab_yy,attn_out,1,YY+1,-0.000113,
random_vocab_yy,attn_out,1,END,-0.001503,
random_vocab_yy,attn_out,2,NOUN,0.000000,
random_vocab_yy,attn_out,2,XX1,0.000000,
random_vocab_yy,attn_out,2,YY,-0.002927,
random_vocab_yy,attn_out,2,YY+1,-0.001385,
random_vocab_yy,attn_out,2,END,-0.000084,
random_vocab_yy,attn_out,3,NOUN,0.000000,
random_vocab_yy,attn_out,3,XX1,0.000000,
random_vocab_yy,attn_out,3,YY,-0.003583,
random_vocab_yy,attn_out,3,YY+1,-0.003052,
random_vocab_yy,attn_out,3,END,0.000413,
random_vocab_yy,attn_out,4,NOUN,0.000000,
random_vocab_yy,attn_out,4,XX1,0.000000,
random_vocab_yy,attn_out,4,YY,-0.003743,
random_vocab_yy,attn_out,4,YY+1,-0.001979,
random_vocab_yy,attn_out,4,END,-0.002049,
random_vocab_yy,attn_out,5,NOUN,0.000000,
random_vocab_yy,attn_out,5,XX1,0.000000,
random_vocab_yy,attn_out,5,YY,0.001855,
random_vocab_yy,attn_out,5,YY+1,-0.000521,
random_vocab_yy,attn_out,5,END,0.028622,
random_vocab_yy,attn_out,6,NOUN,0.000000,
random_vocab_yy,attn_out,6,XX1,0.000000,
random_vocab_yy,attn_out,6,YY,-0.002303,
random_vocab_yy,attn_out,6,YY+1,-0.000321,
random_vocab_yy,attn_out,6,END,-0.057467,
random_vocab_yy,attn_out,7,NOUN,0.000000,
random_vocab_yy,attn_out,7,XX1,0.000000,
random_vocab_yy,attn_out,7,YY,0.000664,
random_vocab_yy,attn_out,7,YY+1,-0.000396,
random_vocab_yy,attn_out,7,END,-0.013866,
random_vocab_yy,attn_out,8,NOUN,0.000000,
random_vocab_yy,attn_out,8,XX1,0.000000,
random_vocab_yy,attn_out,8,YY,0.000507,
random_vocab_yy,attn_out,8,YY+1,-0.000273,
random_vocab_yy,attn_out,8,END,0.012238,
random_vocab_yy,attn_out,9,NOUN,0.000000,
random_vocab_yy,attn_out,9,XX1,0.000000,
random_vocab_yy,attn_out,9,YY,0.000033,
random_vocab_yy,attn_out,9,YY+1,-0.000020,
random_vocab_yy,attn_out,9,END,0.005094,
random_vocab_yy,attn_out,10,NOUN,0.000000,
random_vocab_yy,attn_out,10,XX1,0.000000,
random_vocab_yy,attn_out,10,YY,0.000009,
random_vocab_yy,attn_out,10,YY+1,-0.000030,
random_vocab_yy,attn_out,10,END,-0.003020,
random_vocab_yy,attn_out,11,NOUN,0.000000,
random_vocab_yy,attn_out,11,XX1,0.000000,
random_vocab_yy,attn_out,11,YY,0.000000,
random_vocab_yy,attn_out,11,YY+1,0.000000,
random_vocab_yy,attn_out,11,END,-0.000697,
random_vocab_yy,mlp_out,0,NOUN,0.000000,
random_vocab_yy,mlp_out,0,XX1,0.000000,
random_vocab_yy,mlp_out,0,YY,0.904400,
random_vocab_yy,mlp_out,0,YY+1,0.000354,
random_vocab_yy,mlp_out,0,END,-0.000195,
random_vocab_yy,mlp_out,1,NOUN,0.000000,
random_vocab_yy,mlp_out,1,XX1,0.000000,
random_vocab_yy,mlp_out,1,YY,-0.009576,
random_vocab_yy,mlp_out,1,YY+1,-0.000139,
random_vocab_yy,mlp_out,1,END,-0.000825,
random_vocab_yy,mlp_out,2,NOUN,0.000000,
random_vocab_yy,mlp_out,2,XX1,0.000000,
random_vocab_yy,mlp_out,2,YY,-0.006473,
random_vocab_yy,mlp_out,2,YY+1,0.001615,
random_vocab_yy,mlp_out,2,END,0.000307,
random_vocab_yy,mlp_out,3,NOUN,0.000000,
random_vocab_yy,mlp_out,3,XX1,0.000000,
random_vocab_yy,mlp_out,3,YY,0.000571,
random_vocab_yy,mlp_out,3,YY+1,-0.000990,
random_vocab_yy,mlp_out,3,END,-0.001385,
random_vocab_yy,mlp_out,4,NOUN,0.000000,
random_vocab_yy,mlp_out,4,XX1,0.000000,
random_vocab_yy,mlp_out,4,YY,-0.018672,
random_vocab_yy,mlp_out,4,YY+1,-0.003252,
random_vocab_yy,mlp_out,4,END,0.000214,
random_vocab_yy,mlp_out,5,NOUN,0.000000,
random_vocab_yy,mlp_out,5,XX1,0.000000,
random_vocab_yy,mlp_out,5,YY,-0.003746,
random_vocab_yy,mlp_out,5,YY+1,-0.000158,
random_vocab_yy,mlp_out,5,END,0.003341,
random_vocab_yy,mlp_out,6,NOUN,0.000000,
random_vocab_yy,mlp_out,6,XX1,0.000000,
random_vocab_yy,mlp_out,6,YY,-0.012480,
random_vocab_yy,mlp_out,6,YY+1,0.001005,
random_vocab_yy,mlp_out,6,END,0.005788,
random_vocab_yy,mlp_out,7,NOUN,0.000000,
random_vocab_yy,mlp_out,7,XX1,0.000000,
random_vocab_yy,mlp_out,7,YY,-0.001665,
random_vocab_yy,mlp_out,7,YY+1,-0.000167,
random_vocab_yy,mlp_out,7,END,0.000795,
random_vocab_yy,mlp_out,8,NOUN,0.000000,yes
random_vocab_yy,mlp_out,8,XX1,0.000000,yes
random_vocab_yy,mlp_out,8,YY,-0.004349,yes
random_vocab_yy,mlp_out,8,YY+1,0.000061,yes
random_vocab_yy,mlp_out,8,END,0.036099,yes
random_vocab_yy,mlp_out,9,NOUN,0.000000,yes
random_vocab_yy,mlp_out,9,XX1,0.000000,yes
random_vocab_yy,mlp_out,9,YY,-0.001828,yes
random_vocab_yy,mlp_out,9,YY+1,-0.000066,yes
random_vocab_yy,mlp_out,9,END,0.048457,yes
random_vocab_yy,mlp_out,10,NOUN,0.000000,yes
random_vocab_yy,mlp_out,10,XX1,0.000000,yes
random_vocab_yy,mlp_out,10,YY,0.000267,yes
random_vocab_yy,mlp_out,10,YY+1,-0.000030,yes
random_vocab_yy,mlp_out,10,END,0.157783,yes
random_vocab_yy,mlp_out,11,NOUN,0.000000,yes
random_vocab_yy,mlp_out,11,XX1,0.000000,yes
random_vocab_yy,mlp_out,11,YY,0.000000,yes
random_vocab_yy,mlp_out,11,YY+1,0.000000,yes
random_vocab_yy,mlp_out,11,END,0.000340,yes
random_vocab_any,resid_pre,0,NOUN,0.003256,
random_vocab_any,resid_pre,0,XX1,0.233323,
random_vocab_any,resid_pre,0,YY,0.189563,
random_vocab_any,resid_pre,0,YY+1,0.089914,
random_vocab_any,resid_pre,0,END,0.294949,
random_vocab_any,resid_pre,1,NOUN,0.003298,
random_vocab_any,resid_pre,1,XX1,0.161677,
random_vocab_any,resid_pre,1,YY,0.194758,
random_vocab_any,resid_pre,1,YY+1,0.093677,
random_vocab_any,resid_pre,1,END,0.301104,
random_vocab_any,resid_pre,2,NOUN,0.004128,
random_vocab_any,resid_pre,2,XX1,0.131906,
random_vocab_any,resid_pre,2,YY,0.204998,
random_vocab_any,resid_pre,2,YY+1,0.097671,
random_vocab_any,resid_pre,2,END,0.294796,
random_vocab_any,resid_pre,3,NOUN,0.007064,
random_vocab_any,resid_pre,3,XX1,0.075128,
random_vocab_any,resid_pre,3,YY,0.248359,
random_vocab_any,resid_pre,3,YY+1,0.083768,
random_vocab_any,resid_pre,3,END,0.304052,
random_vocab_any,resid_pre,4,NOUN,0.006569,
random_vocab_any,resid_pre,4,XX1,0.000047,
random_vocab_any,resid_pre,4,YY,0.301112,
random_vocab_any,resid_pre,4,YY+1,0.064660,
random_vocab_any,resid_pre,4,END,0.391876,
random_vocab_any,resid_pre,5,NOUN,0.001968,
random_vocab_any,resid_pre,5,XX1,-0.003701,
random_vocab_any,resid_pre,5,YY,0.384952,
random_vocab_any,resid_pre,5,YY+1,0.046904,
random_vocab_any,resid_pre,5,END,0.449763,
random_vocab_any,resid_pre,6,NOUN,0.002710,
random_vocab_any,resid_pre,6,XX1,-0.014137,
random_vocab_any,resid_pre,6,YY,0.173908,
random_vocab_any,resid_pre,6,YY+1,0.042872,
random_vocab_any,resid_pre,6,END,0.609991,
random_vocab_any,resid_pre,7,NOUN,0.001111,
random_vocab_any,resid_pre,7,XX1,-0.011239,
random_vocab_any,resid_pre,7,YY,0.105486,
random_vocab_any,resid_pre,7,YY+1,0.034786,
random_vocab_any,resid_pre,7,END,0.736752,
random_vocab_any,resid_pre,8,NOUN,0.000712,
random_vocab_any,resid_pre,8,XX1,-0.007483,
random_vocab_any,resid_pre,8,YY,0.009958,
random_vocab_any,resid_pre,8,YY+1,0.034019,
random_vocab_any,resid_pre,8,END,0.875299,
random_vocab_any,resid_pre,9,NOUN,0.000254,
random_vocab_any,resid_pre,9,XX1,-0.002132,
random_vocab_any,resid_pre,9,YY,0.009072,
random_vocab_any,resid_pre,9,YY+1,-0.001302,
random_vocab_any,resid_pre,9,END,0.936799,
random_vocab_any,resid_pre,10,NOUN,0.000185,
random_vocab_any,resid_pre,10,XX1,-0.000699,
random_vocab_any,resid_pre,10,YY,-0.000460,
random_vocab_any,resid_pre,10,YY+1,-0.000579,
random_vocab_any,resid_pre,10,END,0.999792,
