group,scheme,position,layer,head,path_signal,published_class
s2_swap round 2,s2_swap,S2,4,9,0.000095,
s2_swap round 2,s2_swap,S2,4,10,-0.000606,
s2_swap round 2,s2_swap,S2,4,11,-0.000000,previous token
s2_swap round 2,s2_swap,S2,5,0,-0.001146,
s2_swap round 2,s2_swap,S2,5,1,0.009315,
s2_swap round 2,s2_swap,S2,5,2,0.000076,
s2_swap round 2,s2_swap,S2,5,3,0.000005,
s2_swap round 2,s2_swap,S2,5,4,-0.000074,
s2_swap round 2,s2_swap,S2,5,5,0.227087,induction
s2_swap round 2,s2_swap,S2,5,6,-0.000022,
s2_swap round 2,s2_swap,S2,5,7,0.000044,
s2_swap round 2,s2_swap,S2,5,8,0.002423,induction
s2_swap round 2,s2_swap,S2,5,9,0.042450,induction
s2_swap round 2,s2_swap,S2,5,10,0.015811,
s2_swap round 2,s2_swap,S2,5,11,-0.004428,
s2_swap round 2,s2_swap,S2,6,0,0.009804,
s2_swap round 2,s2_swap,S2,6,1,0.000490,
s2_swap round 2,s2_swap,S2,6,2,-0.000661,
s2_swap round 2,s2_swap,S2,6,3,0.001881,
s2_swap round 2,s2_swap,S2,6,4,-0.000561,
s2_swap round 2,s2_swap,S2,6,5,-0.002631,
s2_swap round 2,s2_swap,S2,6,6,-0.021538,
s2_swap round 2,s2_swap,S2,6,7,0.001227,
s2_swap round 2,s2_swap,S2,6,8,0.000785,
s2_swap round 2,s2_swap,S2,6,9,0.057758,induction
s2_swap round 2,s2_swap,S2,6,10,-0.000498,
s2_swap round 2,s2_swap,S2,6,11,0.000575,
abc round 1,abc,END,0,0,-0.000012,
abc round 1,abc,END,0,1,0.000000,duplicate token
abc round 1,abc,END,0,2,0.000014,
abc round 1,abc,END,0,3,-0.000001,
abc round 1,abc,END,0,4,-0.000003,
abc round 1,abc,END,0,5,0.000000,
abc round 1,abc,END,0,6,0.000095,
abc round 1,abc,END,0,7,0.000030,
abc round 1,abc,END,0,8,0.000004,
abc round 1,abc,END,0,9,0.000037,
abc round 1,abc,END,0,10,0.000019,duplicate token
abc round 1,abc,END,0,11,0.000031,
abc round 1,abc,END,1,0,0.000103,
abc round 1,abc,END,1,1,-0.000003,
abc round 1,abc,END,1,2,0.000014,
abc round 1,abc,END,1,3,-0.000007,
abc round 1,abc,END,1,4,0.000152,
abc round 1,abc,END,1,5,-0.000008,
abc round 1,abc,END,1,6,0.000055,
abc round 1,abc,END,1,7,0.000520,
