corruption,metric,layer,head,position,effect,published_class
yy01,logit_diff,5,4,NOUN,0.000000,
yy01,logit_diff,5,4,XX1,0.000000,
yy01,logit_diff,5,4,YY,-0.000073,
yy01,logit_diff,5,4,YY+1,-0.000075,
yy01,logit_diff,5,4,END,0.000011,
yy01,logit_diff,5,5,NOUN,0.000000,year head -> MLP 8
yy01,logit_diff,5,5,XX1,0.000000,year head -> MLP 8
yy01,logit_diff,5,5,YY,-0.000131,year head -> MLP 8
yy01,logit_diff,5,5,YY+1,-0.000006,year head -> MLP 8
yy01,logit_diff,5,5,END,0.052048,year head -> MLP 8
yy01,logit_diff,5,6,NOUN,0.000000,
yy01,logit_diff,5,6,XX1,0.000000,
yy01,logit_diff,5,6,YY,0.000290,
yy01,logit_diff,5,6,YY+1,0.002372,
yy01,logit_diff,5,6,END,-0.000722,
yy01,logit_diff,5,7,NOUN,0.000000,
yy01,logit_diff,5,7,XX1,0.000000,
yy01,logit_diff,5,7,YY,-0.000159,
yy01,logit_diff,5,7,YY+1,-0.000017,
yy01,logit_diff,5,7,END,0.001947,
yy01,logit_diff,5,8,NOUN,0.000000,
yy01,logit_diff,5,8,XX1,0.000000,
yy01,logit_diff,5,8,YY,-0.002167,
yy01,logit_diff,5,8,YY+1,-0.000039,
yy01,logit_diff,5,8,END,-0.004006,
yy01,logit_diff,5,9,NOUN,0.000000,
yy01,logit_diff,5,9,XX1,0.000000,
yy01,logit_diff,5,9,YY,-0.000237,
yy01,logit_diff,5,9,YY+1,0.000254,
yy01,logit_diff,5,9,END,0.000035,
yy01,logit_diff,5,10,NOUN,0.000000,
yy01,logit_diff,5,10,XX1,0.000000,
yy01,logit_diff,5,10,YY,0.001021,
yy01,logit_diff,5,10,YY+1,-0.000494,
yy01,logit_diff,5,10,END,0.000777,
yy01,logit_diff,5,11,NOUN,0.000000,
yy01,logit_diff,5,11,XX1,0.000000,
yy01,logit_diff,5,11,YY,-0.002047,
yy01,logit_diff,5,11,YY+1,0.000088,
yy01,logit_diff,5,11,END,0.000305,
yy01,logit_diff,6,0,NOUN,0.000000,
yy01,logit_diff,6,0,XX1,0.000000,
yy01,logit_diff,6,0,YY,-0.000719,
yy01,logit_diff,6,0,YY+1,0.000119,
yy01,logit_diff,6,0,END,0.000359,
yy01,logit_diff,6,1,NOUN,0.000000,
yy01,logit_diff,6,1,XX1,0.000000,
yy01,logit_diff,6,1,YY,-0.000106,
yy01,logit_diff,6,1,YY+1,-0.000393,
yy01,logit_diff,6,1,END,0.001245,
yy01,logit_diff,6,2,NOUN,0.000000,
yy01,logit_diff,6,2,XX1,0.000000,
yy01,logit_diff,6,2,YY,-0.000052,
yy01,logit_diff,6,2,YY+1,0.000061,
yy01,logit_diff,6,2,END,0.000247,
yy01,logit_diff,6,3,NOUN,0.000000,
yy01,logit_diff,6,3,XX1,0.000000,
yy01,logit_diff,6,3,YY,-0.000606,
yy01,logit_diff,6,3,YY+1,0.000225,
yy01,logit_diff,6,3,END,0.000579,
yy01,logit_diff,6,4,NOUN,0.000000,
yy01,logit_diff,6,4,XX1,0.000000,
yy01,logit_diff,6,4,YY,0.003706,
yy01,logit_diff,6,4,YY+1,-0.000780,
yy01,logit_diff,6,4,END,0.001114,
yy01,logit_diff,6,5,NOUN,0.000000,
yy01,logit_diff,6,5,XX1,0.000000,
yy01,logit_diff,6,5,YY,-0.000671,
yy01,logit_diff,6,5,YY+1,0.000735,
yy01,logit_diff,6,5,END,0.001443,
yy01,logit_diff,6,6,NOUN,0.000000,
yy01,logit_diff,6,6,XX1,0.000000,
yy01,logit_diff,6,6,YY,-0.001573,
yy01,logit_diff,6,6,YY+1,-0.000269,
yy01,logit_diff,6,6,END,-0.003257,
yy01,logit_diff,6,7,NOUN,0.000000,
yy01,logit_diff,6,7,XX1,0.000000,
yy01,logit_diff,6,7,YY,-0.000021,
yy01,logit_diff,6,7,YY+1,-0.000059,
yy01,logit_diff,6,7,END,-0.000104,
yy01,logit_diff,6,8,NOUN,0.000000,
yy01,logit_diff,6,8,XX1,0.000000,
yy01,logit_diff,6,8,YY,0.001134,
yy01,logit_diff,6,8,YY+1,0.000289,
yy01,logit_diff,6,8,END,-0.001228,
yy01,logit_diff,6,9,NOUN,0.000000,year head -> MLP 8
yy01,logit_diff,6,9,XX1,0.000000,year head -> MLP 8
yy01,logit_diff,6,9,YY,-0.000043,year head -> MLP 8
yy01,logit_diff,6,9,YY+1,0.000044,year head -> MLP 8
yy01,logit_diff,6,9,END,0.075923,year head -> MLP 8
yy01,logit_diff,6,10,NOUN,0.000000,
yy01,logit_diff,6,10,XX1,0.000000,
yy01,logit_diff,6,10,YY,0.000067,
yy01,logit_diff,6,10,YY+1,0.000014,
