corruption,metric,layer,head,effect,published_class
abc,logit_diff,2,5,0.000207,
abc,logit_diff,2,6,-0.001039,
abc,logit_diff,2,7,0.002601,
abc,logit_diff,2,8,-0.000185,
abc,logit_diff,2,9,-0.001400,
abc,logit_diff,2,10,0.000272,
abc,logit_diff,2,11,0.000779,
abc,logit_diff,3,0,-0.002968,duplicate token
abc,logit_diff,3,1,-0.000199,
abc,logit_diff,3,2,-0.000715,
abc,logit_diff,3,3,-0.001246,
abc,logit_diff,3,4,0.000460,
abc,logit_diff,3,5,-0.000928,
abc,logit_diff,3,6,0.002803,
abc,logit_diff,3,7,-0.001307,
abc,logit_diff,3,8,0.000191,
abc,logit_diff,3,9,-0.000428,
abc,logit_diff,3,10,0.000432,
abc,logit_diff,3,11,-0.000257,
abc,logit_diff,4,0,-0.000575,
abc,logit_diff,4,1,0.000205,
abc,logit_diff,4,2,0.000241,
abc,logit_diff,4,3,0.005489,
abc,logit_diff,4,4,0.001167,
abc,logit_diff,4,5,-0.000388,
abc,logit_diff,4,6,-0.000709,
abc,logit_diff,4,7,0.002038,
abc,logit_diff,4,8,-0.000739,
abc,logit_diff,4,9,-0.000125,
abc,logit_diff,4,10,0.001112,
abc,logit_diff,4,11,0.002824,previous token
abc,logit_diff,5,0,0.000777,
abc,logit_diff,5,1,0.000222,
abc,logit_diff,5,2,-0.000356,
abc,logit_diff,5,3,-0.000443,
abc,logit_diff,5,4,-0.000237,
abc,logit_diff,5,5,0.001989,induction
abc,logit_diff,5,6,0.001408,
abc,logit_diff,5,7,0.000466,
abc,logit_diff,5,8,-0.001208,induction
abc,logit_diff,5,9,-0.004708,induction
abc,logit_diff,5,10,-0.002346,
abc,logit_diff,5,11,0.003211,
abc,logit_diff,6,0,0.004116,
abc,logit_diff,6,1,0.001214,
abc,logit_diff,6,2,0.000485,
abc,logit_diff,6,3,-0.000722,
abc,logit_diff,6,4,-0.003911,
abc,logit_diff,6,5,-0.000430,
abc,logit_diff,6,6,0.002314,
abc,logit_diff,6,7,-0.000696,
abc,logit_diff,6,8,-0.000453,
abc,logit_diff,6,9,0.000334,induction
abc,logit_diff,6,10,-0.000158,
abc,logit_diff,6,11,0.000279,
abc,logit_diff,7,0,-0.000482,
abc,logit_diff,7,1,0.000356,
abc,logit_diff,7,2,-0.000087,
abc,logit_diff,7,3,0.030729,s-inhibition
abc,logit_diff,7,4,0.000623,
abc,logit_diff,7,5,-0.004308,
abc,logit_diff,7,6,-0.000494,
abc,logit_diff,7,7,-0.000257,
abc,logit_diff,7,8,-0.001163,
abc,logit_diff,7,9,0.043531,s-inhibition
abc,logit_diff,7,10,0.000859,
abc,logit_diff,7,11,-0.001041,
abc,logit_diff,8,0,0.000543,
abc,logit_diff,8,1,-0.000114,
abc,logit_diff,8,2,-0.008045,
abc,logit_diff,8,3,0.003103,
abc,logit_diff,8,4,0.000463,
abc,logit_diff,8,5,-0.000912,
